,invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.7,7,26.1,549.0,1/5/2019,13:08,Ewallet,522.8,4.8,26.1,9.1
1,226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.3,5,3.8,80.2,3/8/2019,10:29,Cash,76.4,4.8,3.8,9.6
2,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.3,7,16.2,340.5,3/3/2019,13:23,Credit card,324.3,4.8,16.2,7.4
3,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.2,8,23.3,489.0,1/27/2019,20:33,Ewallet,465.8,4.8,23.3,8.4
4,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.3,7,30.2,634.4,2/8/2019,10:37,Ewallet,604.2,4.8,30.2,5.3
5,699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.4,7,29.9,627.6,3/25/2019,18:30,Ewallet,597.7,4.8,29.9,4.1
6,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.8,6,20.7,433.7,2/25/2019,14:36,Ewallet,413.0,4.8,20.7,5.8
7,315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.6,10,36.8,772.4,2/24/2019,11:38,Ewallet,735.6,4.8,36.8,8.0
8,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.3,2,3.6,76.1,1/10/2019,17:15,Credit card,72.5,4.8,3.6,7.2
9,692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.8,3,8.2,172.7,2/20/2019,13:27,Credit card,164.5,4.8,8.2,5.9
10,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.5,4,2.9,60.8,2/6/2019,18:07,Ewallet,57.9,4.8,2.9,4.5
11,529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.5,4,5.1,107.1,3/9/2019,17:03,Cash,102.0,4.8,5.1,6.8
12,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,47.0,5,11.7,246.5,2/12/2019,10:25,Ewallet,234.8,4.8,11.7,7.1
13,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.2,10,21.6,453.5,2/7/2019,16:48,Ewallet,431.9,4.8,21.6,8.2
14,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.4,10,35.7,749.5,3/29/2019,19:21,Cash,713.8,4.8,35.7,5.7
15,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.7,6,28.1,590.4,1/15/2019,16:19,Cash,562.3,4.8,28.1,4.5
16,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.9,7,24.1,506.6,3/11/2019,11:03,Credit card,482.5,4.8,24.1,4.6
17,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.6,6,21.8,457.4,1/1/2019,10:39,Credit card,435.7,4.8,21.8,6.9
18,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.7,3,8.2,172.2,1/21/2019,18:00,Credit card,164.0,4.8,8.2,8.6
19,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.0,84.6,3/11/2019,15:30,Ewallet,80.6,4.8,4.0,4.4
20,300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.0,5,21.5,451.7,2/25/2019,11:24,Ewallet,430.2,4.8,21.5,4.8
21,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,88.0,3,13.2,277.1,3/5/2019,10:40,Ewallet,263.9,4.8,13.2,5.1
22,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.3,69.7,3/15/2019,12:20,Credit card,66.4,4.8,3.3,4.4
23,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.6,5,8.6,181.4,2/17/2019,11:15,Ewallet,172.8,4.8,8.6,9.9
24,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.6,3,13.3,279.2,3/2/2019,17:36,Ewallet,265.9,4.8,13.3,6.0
25,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.6,8,21.0,441.8,3/22/2019,19:20,Credit card,420.7,4.8,21.0,8.5
26,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.5,1,1.7,35.2,2/8/2019,15:31,Cash,33.5,4.8,1.7,6.7
27,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.7,2,8.8,184.1,3/10/2019,12:17,Credit card,175.3,4.8,8.8,7.7
28,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.4,5,22.1,463.9,1/25/2019,19:48,Cash,441.8,4.8,22.1,9.6
29,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.9,9,11.2,235.2,3/15/2019,15:36,Cash,224.0,4.8,11.2,7.4
30,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.1,5,23.5,494.2,2/25/2019,19:39,Credit card,470.7,4.8,23.5,4.8
31,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.1,9,35.1,737.8,1/28/2019,12:43,Cash,702.6,4.8,35.1,4.5
32,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.8,8,33.5,703.8,1/10/2019,14:49,Cash,670.2,4.8,33.5,5.1
33,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.6,2,9.7,202.8,3/15/2019,10:12,Credit card,193.2,4.8,9.7,5.1
34,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.4,4,19.9,417.6,2/6/2019,10:42,Ewallet,397.7,4.8,19.9,7.5
